Mese/Ora,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
January,88.48,84.45,79.83,77.99,78.94,84.54,97.66,108.02,119.56,112.70,103.03,98.11,92.21,90.77,95.70,102.82,109.93,119.65,119.15,116.61,108.46,103.76,99.31,92.49
Februar,79.64,74.21,70.47,68.11,69.41,74.93,88.34,99.03,109.04,100.76,90.26,83.97,76.94,75.53,80.00,85.40,94.47,103.43,111.02,110.03,100.38,93.71,88.64,82.05
March,86.92,83.05,81.28,80.67,80.96,85.72,95.91,100.50,102.12,92.52,84.80,77.81,69.69,67.28,72.69,79.54,89.60,98.51,113.99,118.48,105.22,97.46,93.09,88.63
April,86.50,81.95,78.67,77.40,77.48,82.93,97.45,111.90,114.49,100.97,83.59,72.44,58.67,51.98,55.67,62.08,75.12,88.99,99.75,121.45,122.96,104.63,96.10,91.58
May,92.15,85.92,81.85,81.61,82.46,86.87,99.84,114.43,115.93,102.94,89.36,83.57,71.64,67.16,71.49,75.09,85.30,91.93,103.56,124.43,132.79,119.68,102.88,96.98
June,101.73,96.13,91.98,91.24,90.31,93.28,101.78,114.61,115.53,107.68,100.22,93.16,77.15,71.91,76.92,83.07,93.52,103.06,112.40,132.40,137.74,128.92,112.57,106.03
July,104.68,100.74,98.23,96.61,96.40,97.96,104.38,112.21,114.62,108.24,102.98,100.21,96.21,97.05,99.66,101.68,104.65,107.24,118.38,137.27,139.61,128.14,111.04,104.52
August,121.73,119.17,116.98,115.60,115.38,117.64,122.36,124.76,121.42,115.96,112.70,110.72,110.11,110.13,111.40,114.45,120.72,126.65,144.84,166.71,167.39,149.17,129.10,122.12
September,106.96,104.84,103.15,101.39,101.32,104.92,118.62,135.24,140.86,126.64,113.36,105.88,95.29,93.07,97.47,104.16,114.33,122.17,138.53,155.86,146.40,126.33,112.52,109.34
Oktober,102.28,97.64,95.91,95.55,95.68,99.68,114.20,134.31,146.46,133.77,119.45,109.36,97.96,96.73,100.15,107.16,117.54,128.90,144.51,151.52,128.90,114.97,108.86,104.60
November,116.68,113.09,110.67,110.34,110.97,115.18,129.38,142.80,148.14,138.62,128.21,123.88,117.84,119.43,128.38,141.50,154.74,160.27,159.33,153.67,139.09,130.14,124.92,118.71
December,117.36,109.66,101.42,98.80,98.59,107.68,127.70,150.50,162.53,153.97,136.29,127.46,123.23,123.10,131.77,148.32,164.90,174.34,172.40,168.83,154.65,141.14,131.95,121.55
